,LCK,LCKC,LCP,LEC,LJL,LTA N,PCS
0,False,False,True,False,False,False,False
1,False,False,True,False,False,False,False
2,False,False,True,False,False,False,False
3,False,False,True,False,False,False,False
4,False,False,True,False,False,False,False
5,False,False,False,True,False,False,False
6,False,False,False,True,False,False,False
7,False,False,False,True,False,False,False
8,False,False,False,True,False,False,False
9,False,False,False,False,False,True,False
10,False,False,False,False,False,True,False
11,False,False,False,False,False,True,False
12,False,False,False,False,False,True,False
13,False,False,False,False,False,True,False
14,False,False,True,False,False,False,False
15,False,False,True,False,False,False,False
16,False,False,True,False,False,False,False
17,False,False,True,False,False,False,False
18,False,False,True,False,False,False,False
19,False,False,False,True,False,False,False
20,False,False,False,True,False,False,False
21,False,False,False,True,False,False,False
22,False,False,False,True,False,False,False
23,False,False,False,False,False,True,False
24,False,False,False,False,False,True,False
25,False,False,False,False,False,True,False
26,False,False,False,False,False,True,False
27,False,False,False,False,False,True,False
28,False,True,False,False,False,False,False
29,False,True,False,False,False,False,False
30,False,True,False,False,False,False,False
31,False,True,False,False,False,False,False
32,False,False,False,False,False,False,True
33,False,True,False,False,False,False,False
34,False,False,False,False,False,False,True
35,False,True,False,False,False,False,False
36,False,True,False,False,False,False,False
37,False,False,False,True,False,False,False
38,False,False,False,True,False,False,False
39,False,False,False,True,False,False,False
40,False,False,False,True,False,False,False
41,False,True,False,False,False,False,False
42,False,True,False,False,False,False,False
43,False,False,False,False,False,False,True
44,False,False,False,False,False,False,True
45,False,True,False,False,False,False,False
46,False,False,False,False,False,False,True
47,False,True,False,False,False,False,False
48,False,False,False,False,False,False,True
49,False,True,False,False,False,False,False
50,False,True,False,False,False,False,False
51,True,False,False,False,False,False,False
52,True,False,False,False,False,False,False
53,False,False,False,False,False,False,True
54,True,False,False,False,False,False,False
55,False,False,False,False,False,False,True
56,False,False,False,False,False,False,True
57,True,False,False,False,False,False,False
58,False,False,False,False,False,False,True
59,True,False,False,False,False,False,False
60,False,False,False,False,False,False,True
61,False,False,False,False,False,False,True
62,False,True,False,False,False,False,False
63,False,True,False,False,False,False,False
64,False,True,False,False,False,False,False
65,False,True,False,False,False,False,False
66,False,True,False,False,False,False,False
67,False,True,False,False,False,False,False
68,False,True,False,False,False,False,False
69,True,False,False,False,False,False,False
70,True,False,False,False,False,False,False
71,True,False,False,False,False,False,False
72,False,True,False,False,False,False,False
73,False,True,False,False,False,False,False
74,False,True,False,False,False,False,False
75,False,True,False,False,False,False,False
76,False,True,False,False,False,False,False
77,True,False,False,False,False,False,False
78,True,False,False,False,False,False,False
79,True,False,False,False,False,False,False
80,True,False,False,False,False,False,False
81,False,False,False,False,True,False,False
82,False,False,False,False,True,False,False
83,False,False,False,False,True,False,False
84,False,False,False,False,True,False,False
85,False,False,False,False,True,False,False
86,False,False,False,False,True,False,False
87,True,False,False,False,False,False,False
88,False,False,False,False,True,False,False
89,False,False,False,False,True,False,False
90,False,False,False,False,True,False,False
91,False,False,False,False,True,False,False
92,False,False,False,False,True,False,False
93,False,False,False,False,True,False,False
94,False,False,False,False,True,False,False
95,False,False,False,False,True,False,False
96,False,False,False,False,True,False,False
97,False,False,False,False,True,False,False
98,True,False,False,False,False,False,False
99,False,False,False,False,True,False,False
100,True,False,False,False,False,False,False
101,False,False,True,False,False,False,False
102,False,False,True,False,False,False,False
103,False,False,True,False,False,False,False
104,False,False,True,False,False,False,False
105,False,False,True,False,False,False,False
106,False,False,False,True,False,False,False
107,False,False,False,True,False,False,False
108,False,False,False,True,False,False,False
109,False,False,False,True,False,False,False
110,False,False,False,False,False,True,False
111,False,False,False,True,False,False,False
112,False,False,False,False,False,True,False
113,False,False,False,False,False,True,False
114,False,False,False,False,False,True,False
115,False,False,False,False,False,True,False
116,False,False,False,False,True,False,False
117,False,False,False,False,True,False,False
118,False,False,False,False,True,False,False
119,False,False,False,False,True,False,False
120,False,False,False,False,True,False,False
121,True,False,False,False,False,False,False
122,False,False,False,False,True,False,False
123,False,False,False,False,True,False,False
124,False,False,False,False,True,False,False
125,False,False,False,False,True,False,False
126,False,False,False,False,True,False,False
127,False,False,False,False,True,False,False
128,False,False,False,False,True,False,False
129,False,False,False,False,True,False,False
130,False,False,False,False,True,False,False
131,True,False,False,False,False,False,False
132,False,False,False,False,True,False,False
133,False,False,False,False,True,False,False
134,True,False,False,False,False,False,False
135,False,False,False,False,True,False,False
136,False,False,False,False,True,False,False
137,False,False,False,False,True,False,False
138,False,False,False,False,True,False,False
139,False,False,False,False,True,False,False
140,True,False,False,False,False,False,False
141,False,False,True,False,False,False,False
142,True,False,False,False,False,False,False
143,False,False,True,False,False,False,False
144,False,False,True,False,False,False,False
145,False,False,True,False,False,False,False
146,False,False,False,True,False,False,False
147,False,False,False,True,False,False,False
148,False,False,False,True,False,False,False
149,False,False,False,True,False,False,False
150,False,False,False,True,False,False,False
151,False,False,False,False,False,True,False
152,False,False,False,False,False,True,False
153,False,False,False,False,False,True,False
154,False,False,False,False,False,True,False
155,False,True,False,False,False,False,False
156,False,True,False,False,False,False,False
157,False,True,False,False,False,False,False
158,False,True,False,False,False,False,False
159,False,True,False,False,False,False,False
160,False,False,False,False,False,False,True
161,False,False,False,False,False,False,True
162,False,True,False,False,False,False,False
163,False,False,False,False,False,False,True
164,False,True,False,False,False,False,False
165,False,False,False,False,False,False,True
166,False,True,False,False,False,False,False
167,False,False,False,False,False,False,True
168,False,False,False,True,False,False,False
169,False,False,False,True,False,False,False
170,False,False,False,True,False,False,False
171,False,False,False,True,False,False,False
172,False,True,False,False,False,False,False
173,False,True,False,False,False,False,False
174,False,False,False,False,False,False,True
175,False,True,False,False,False,False,False
176,False,False,False,False,False,False,True
177,False,True,False,False,False,False,False
178,False,False,False,False,False,False,True
179,False,True,False,False,False,False,False
180,False,False,False,True,False,False,False
181,True,False,False,False,False,False,False
182,True,False,False,False,False,False,False
183,False,False,False,False,False,False,True
184,True,False,False,False,False,False,False
185,False,False,False,False,False,False,True
186,False,False,False,False,False,False,True
187,True,False,False,False,False,False,False
188,False,False,False,False,False,False,True
189,True,False,False,False,False,False,False
190,True,False,False,False,False,False,False
191,False,True,False,False,False,False,False
192,False,True,False,False,False,False,False
193,False,True,False,False,False,False,False
194,False,True,False,False,False,False,False
195,False,True,False,False,False,False,False
196,False,True,False,False,False,False,False
197,False,True,False,False,False,False,False
198,False,True,False,False,False,False,False
199,True,False,False,False,False,False,False
200,True,False,False,False,False,False,False
201,True,False,False,False,False,False,False
202,True,False,False,False,False,False,False
203,True,False,False,False,False,False,False
204,True,False,False,False,False,False,False
205,False,True,False,False,False,False,False
206,False,True,False,False,False,False,False
207,False,True,False,False,False,False,False
208,False,True,False,False,False,False,False
209,False,True,False,False,False,False,False
210,True,False,False,False,False,False,False
211,True,False,False,False,False,False,False
212,False,False,True,False,False,False,False
213,True,False,False,False,False,False,False
214,False,False,True,False,False,False,False
215,True,False,False,False,False,False,False
216,False,False,True,False,False,False,False
217,False,False,True,False,False,False,False
218,False,False,True,False,False,False,False
219,True,False,False,False,False,False,False
220,False,False,False,False,True,False,False
221,False,False,False,False,True,False,False
222,False,False,False,False,True,False,False
223,False,False,False,False,True,False,False
224,False,False,False,False,True,False,False
225,True,False,False,False,False,False,False
226,False,False,False,False,True,False,False
227,False,False,False,False,True,False,False
228,False,False,False,False,True,False,False
229,False,False,False,False,True,False,False
230,False,False,False,False,True,False,False
231,True,False,False,False,False,False,False
232,False,False,False,False,True,False,False
233,False,False,False,False,True,False,False
234,False,False,False,False,True,False,False
235,False,False,False,False,True,False,False
236,False,False,False,False,True,False,False
237,True,False,False,False,False,False,False
238,False,False,True,False,False,False,False
239,True,False,False,False,False,False,False
240,False,False,True,False,False,False,False
241,True,False,False,False,False,False,False
242,False,False,True,False,False,False,False
243,False,False,True,False,False,False,False
244,False,False,False,False,False,True,False
245,False,False,False,False,False,True,False
246,False,False,False,False,False,True,False
247,False,False,False,False,False,True,False
248,False,False,False,False,False,True,False
249,False,False,False,False,True,False,False
250,False,False,False,False,True,False,False
251,False,False,False,False,True,False,False
252,False,False,False,False,True,False,False
253,False,False,False,False,True,False,False
254,False,False,False,False,True,False,False
255,False,False,False,False,True,False,False
256,True,False,False,False,False,False,False
257,False,False,False,False,True,False,False
258,False,False,False,False,True,False,False
259,False,False,False,False,True,False,False
260,True,False,False,False,False,False,False
261,False,False,False,False,True,False,False
262,False,False,False,False,True,False,False
263,False,False,False,False,True,False,False
264,False,False,False,False,True,False,False
